Txp No	Source	Date	Freq	Pol	Mode	SR-FEC	Provider Name	Encryption	ONID-TID	FootPrints	EIRP(dBW)	Comments	Row
L01	D.Shimoni	09.11.2011	11471	H	DVB-S/MPEG-2	30000 3/4	CanalSat Réunion	Mediagrd2		E16A Africa	40-50 dBW		212
D2	Hendrik	02.03.2020	11471	V	DVB-S2/8PSK|MPEG-4	30000 5/6		Conax	366-50200	E16A Europe B	40-50 dBW	Arena HD|on	213
D3	Vito	21.08.2019	11512	H	DVB-S2/8PSK|MPEG-4	30000 3/4		Nagravision3	64-1	E16A Europe B	40-50 dBW		215
L3	D.Shimoni	09.11.2011	11512	H	DVB-S/MPEG-2	30000 3/4	CanalSat Réunion	Mediagrd2		E16A Africa	40-50 dBW		216
D4	Hendrik	27.11.2019	11512	V	DVB-S2/8PSK|MPEG-4	29950 2/3		Conax	1-200	E16A Europe B	40-50 dBW		217
D5	Vito	01.03.2020	11554	H	DVB-S2/8PSK|MPEG-4	30000 3/4		Conax|VideoGuard	366-50500	E16A Europe B	40-50 dBW	B92|on|O2.TV|left	232
D6	Hendrik	22.11.2019	11554	V	DVB-S2/8PSK|MPEG-4	30000 5/6		Conax	366-50600	E16A Europe B	40-50 dBW	Fight Channel|World HD|left	233
L5	D.Shimoni	09.11.2011	11554	H	DVB-S2MPEG-4	30000 3/4	France TV	Viaccess		E16A Africa	40-50 dBW		234
D7	Hendrik	27.02.2020	11595	H	DVB-S2/8PSK|MPEG-4	30000 3/4		Nagravision3	64-2	E16A Europe B	40-50 dBW		235
D8	Hendrik	26.02.2020	11595	V	DVB-S2/8PSK|MPEG-4	30000 5/6		Conax	366-50800	E16A Europe B	40-50 dBW	new channels|on	246
L7	D.Shimoni	09.11.2011	11596	H	DVB-S/MPEG-2	30000 3/4	Parabole Réunion	Viaccess		E16A Africa	40-50 dBW		248
D9	A.Soner	07.01.2020	11637	H	DVB-S2/8PSK|MPEG-4	30000 5/6		Conax	366-50900	E16A Europe B	40-50 dBW		249
L9	D.Shimoni	09.11.2011	11637	H	DVB-S/MPEG-2	30000 3/4	CanalSat Réunion	Mediagrd2		E16A Africa	40-50 dBW		251
D10	Hendik|Vito	09.01.2020	11637	V	DVB-S2/8PSK|MPEG-4	30000 2/3		Viaccess	366-51000	E16A Europe A	38-49 dBW	HRT Int|on	252
D11	Hendrik	16.03.2020	11678	H	DVB-S2/8PSK|MPEG-4	30000 3/4		Conax|Nagravision3	64-3	E16A Europe B	40-50 dBW	SPTV|FTA now	270
L11	D.Shimoni	09.11.2011	11678	H	DVB-S2/8PSK|MPEG-4	30000 3/4	Orange Réunion	Viaccess3.0		E16A Africa	40-50 dBW		275
F1	SatSearcher	24.08.2019	12507	H	DVB-S2/QPSK	1586 1/4	Data			E16A Europe B	40-50 dBW		276
H1	Flie	02.02.2020	12521	H	DVB-S2/8PSK|MPEG-4	30000 3/4		Conax		E16A Africa	40-50 dBW	Epic|on	277
F2	Hendrik	20.08.2019	12543	V	DVB-S2/QPSK|MPEG-4	19970 3/4		Conax|Irdeto2	1-1	E16A Europe B	40-50 dBW		278
H2	AhmedIraqi	13.11.2019	12562	H	DVB-S2/8PSK|MPEG-2|MPEG-4	30000 2/3				E16A Africa	40-50 dBW		289
F2	Hendrik|Ramiz|EnoSat|Karl|Impuls|cipryDXfeed	08.11.2013	12564	V	DVB-S/MPEG-2	3617 3/4	Kanal D		1|BISS|1-1	E16A Europe B	40-50 dBW		330
F3	EnoSat	09.04.2016	12569	H	DVB-S/MPEG-2	3703 7/8	SIC Internacional		1|BISS|65535-1	E16A Europe A	38-49 dBW		331
F4	EnoSat	05.10.2017	12593	V	DVB-S/MPEG-2	2500 2/3	DM Sat		1|1-2680	E16A Europe B	40-50 dBW		332
H3	Matie Yendu	27.09.2018	12604	H	DVB-S2/8PSK|MPEG-4	30000 2/3				E16A Africa	40-50 dBW		333
F5	Hendrik	13.03.2020	12605	H	DVB-S2/QPSK|MPEG-4	30000 3/4		Conax|Irdeto	366-17033	E16A Europe B	40-50 dBW	TV Romana|Arena Sport 2|left	344
F4	Hendrik	28.04.2019	12618	V	DVB-S2/8PSK|HEVC					E16A Europe B	40-50 dBW	Better|package|left	346
F5	Hendrik	23.10.2018	12639	H	DVB-S2/8PSK|MPEG-4	10833 3/5			366-1	E16A Europe B	40-50 dBW		347
F4	Hendrik	18.02.2020	12643	V	DVB-S2/8PSK|MPEG-4	27500 2/3		Conax	5-500	E16A Europe B	40-50 dBW	Etno TV|on|Neptun TV|left	359
F3	Hendrik	13.07.2016	12654	H	DVB-S/MPEG-2	11111 2/3		PowerVu	65535-101	E16A Europe B	40-50 dBW		370
F5	Hendrik	12.11.2019	12660	H	DVB-S2/QPSK|MPEG-4	2220 5/6		BISS	1-1	E16A Europe B	40-50 dBW		374
F5	Nektarios1451|SatSearcher|Hendrik	28.09.2019	12676	H	DVB-S2/QPSK	2666 3/4	Libya Al Ahrar HD		1|MPEG-4/HD|BISS|65535-1	E16A Europe A	38-49 dBW		377
F4	SatSearcher	04.01.2019	12678	V	DVB-S2/QPSK|ACM	4000 1/4	Data			E16A Europe A	38-49 dBW		378
F5	SatSearcher	24.08.2019	12681	H	DVB-S2/QPSK	5000 1/2	AOL			E16A Europe A	38-49 dBW		379
F5	Hendrik	29.01.2020	12693	H	DVB-S2/QPSK|HEVC	2222 3/4		BISS	0-160	E16A Europe B	40-50 dBW	SNAI Quad Race|on	380
F5	Hendrik	29.01.2020	12699	H	DVB-S/MPEG-2|DVB-S/MPEG-4	9880 2/3		PowerVu	1-101	E16A Europe B	40-50 dBW	Virtuali 3|HD now	383
F5	Hendrik	28.08.2018	12717	H	DVB-S2/QPSK|MPEG-4	7500 3/4		BISS	100-100	E16A Europe B	40-50 dBW		390
F5	Hendrik|Gladix	06.11.2019	12737	H	DVB-S/MPEG-2	2255 3/4	Realitatea Plus		900|100-176	E16A Europe B	40-50 dBW		398
F5	SatSearcher	26.10.2019	12743	H	DVB-S2/QPSK	1000 2/3	Data			E16A Europe A	38-49 dBW		399
J2	G.Heckenhahn	21.05.2018	21534	H	DVB-S2/8PSK|MPEG-4	1123 3/5	Vision 4 RCA		1|0-1	E16A Europe C	48-52 dBW		400
J2	Onacila	15.03.2020	21536	H	DVB-S2/QPSK|MPEG-4					E16A Europe C	48-52 dBW	Emirem TV|left	401
J2	Onacila	27.04.2014	21538	H	DVB-S2/8PSK|MPEG-4	1054 3/4	Vision 4		1|0-1	E16A Europe C	48-52 dBW		402
J2	G.Heckenhahn	16.02.2019	21540	H	DVB-S2/8PSK|MPEG-4					E16A Europe C	48-52 dBW	Equinoxe TV|left	403
J2	G.Heckenhahn	21.05.2018	21542	H	DVB-S2/8PSK|MPEG-4	1070 3/4	Eden TV		1|1-1	E16A Europe C	48-52 dBW		404
J2	Marval450|Onacila	27.07.2016	21543	H	DVB-S2/8PSK|MPEG-4	1100 3/4	TVC		1|1-1	E16A Europe C	48-52 dBW		405
J2	Onacila	05.04.2013	21545	H	DVB-S2/8PSK|MPEG-4	2143 5/6			0-0	E16A Europe C	48-52 dBW		406
J2	Marval450|Onacila	27.07.2016	21547	H	DVB-S2/QPSK|MPEG-4	1237 5/6	Golfe TV HD		1|1-1	E16A Europe C	48-52 dBW		409
J2	Onacila	05.04.2013	21562	H	DVB-S2/8PSK|MPEG-4	1010 2/3	ImpactTV		200|321-103	E16A Europe C	48-52 dBW		411
J2	Vipersan	14.04.2015	21563	H	DVB-S2/8PSK|MPEG-4	1250 2/3	Burkina Info TV		1|65535-1	E16A Europe C	48-52 dBW		412
J2	Onacila	07.09.2014	21564	H	DVB-S/MPEG-2	128 3/4			1-1	E16A Europe C	48-52 dBW		413
J2	G.Heckenhahn	16.02.2019	21569	H	DVB-S2/8PSK|MPEG-4	1383 3/4	Equinoxe TV HD		1|MPEG-4/HD|65535-1	E16A Europe C	48-52 dBW		415
J2	G.Heckenhahn|Onacila	05.03.2018	21571	H	DVB-S2/8PSK|MPEG-4	2900 5/6			1-1	E16A Europe C	48-52 dBW		416
J2	Onacila	15.03.2020	21576	H	DVB-S2/8PSK|MPEG-4	3674 5/6			1-1	E16A Europe C	48-52 dBW	new SR/FEC|Canal 2 Int|HD now|Canal 2 English|Sweet Radio Vision|left	420
J2	Onacila	15.03.2020	21580	H	DVB-S2/QPSK|MPEG-4					E16A Europe C	48-52 dBW	TVT|left	423
J2	Onacila	15.03.2020	21600	H	DVB-S2/8PSK|MPEG-4	5206 2/3			0-1	E16A Europe C	48-52 dBW	new	424
J2	Onacila	15.03.2020	21607	H	DVB-S2/8PSK|MPEG-4	7706 2/3			0-1	E16A Europe C	48-52 dBW	new	431
